,album,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,release_year
54,There Is Love in You,4,pablo's heart,0.996,0.0,0.642,0.883,0.22,-33.929,0.0,0.0,0.0,0,11,1,2010
100,Everything Ecstatic,3,fuji check,0.612,0.346,0.413,0.00722,0.391,-25.803,0.0667,79.387,0.0485,0,4,0,2005
80,Everything Ecstatic,3,fuji check,0.559,0.192,0.446,0.0127,0.392,-25.851,0.0635,87.523,0.051,0,7,1,2005
106,Everything Ecstatic,9,"sleep, eat food, have vision",0.00426,0.759,0.92,0.313,0.114,-6.091,0.0628,106.027,0.299,4,1,1,2005
105,Everything Ecstatic,8,turtle turtle up,0.365,0.526,0.702,0.938,0.718,-13.266,0.0605,76.028,0.687,4,6,0,2005
102,Everything Ecstatic,5,clouding,0.922,0.312,0.277,0.0,0.346,-12.708,0.034,126.213,0.102,4,0,1,2005
101,Everything Ecstatic,4,sun drums and soil,0.114,0.334,0.825,0.0647,0.378,-8.143,0.0635,132.112,0.541,5,8,1,2005
98,Everything Ecstatic,1,a joy,0.000344,0.592,0.519,0.859,0.338,-10.33,0.067,114.985,0.215,6,1,1,2005
104,Everything Ecstatic,7,high fives,0.122,0.676,0.612,0.0888,0.165,-8.2,0.0504,110.03,0.215,7,0,1,2005
103,Everything Ecstatic,6,and then patterns,0.00057,0.816,0.419,0.0245,0.0641,-13.859,0.116,150.011,0.924,7,6,1,2005
75,Everything Ecstatic Part 2,3,watching wavelength,0.872,0.331,0.791,0.412,0.375,-8.455,0.0409,79.662,0.314,8,9,1,2006
76,Everything Ecstatic Part 2,4,this is six minutes,0.0377,0.399,0.682,0.342,0.116,-11.22,0.0418,139.091,0.15,8,11,0,2006
74,Everything Ecstatic Part 2,2,sun drums and soil - part 2,0.261,0.287,0.844,0.794,0.147,-7.362,0.0436,174.048,0.747,8,2,1,2006
99,Everything Ecstatic,2,smile around the face,0.00205,0.73,0.649,0.0103,0.503,-10.308,0.121,105.479,0.781,8,8,1,2005
107,Everything Ecstatic,10,you were there with me,0.743,0.267,0.227,0.518,0.25,-21.819,0.0533,148.09,0.0338,8,2,1,2005
77,Everything Ecstatic Part 2,5,ending,0.869,0.298,0.163,0.874,0.157,-24.171,0.033,87.94,0.523,9,1,0,2006
73,Everything Ecstatic Part 2,1,turtle turtle up - extended version,0.0479,0.73,0.748,0.708,0.13,-8.04,0.227,152.008,0.674,9,11,0,2006
86,Everything Ecstatic,9,"sleep, eat food, have visions",0.0047,0.761,0.92,0.27,0.0603,-6.066,0.0663,106.027,0.307,11,1,1,2005
85,Everything Ecstatic,8,turtle turtle up,0.35,0.535,0.701,0.946,0.72,-13.36,0.0618,76.059,0.726,11,6,0,2005
82,Everything Ecstatic,5,clouding,0.924,0.317,0.274,0.0,0.342,-12.669,0.0326,112.9,0.129,11,0,1,2005
81,Everything Ecstatic,4,sun drums and soil,0.0995,0.336,0.832,0.0501,0.335,-8.141,0.0685,131.938,0.569,13,8,1,2005
84,Everything Ecstatic,7,high fives,0.131,0.68,0.62,0.0936,0.242,-8.117,0.049,110.042,0.221,15,0,1,2005
78,Everything Ecstatic,1,a joy,0.0018,0.619,0.587,0.842,0.109,-8.97,0.0556,114.974,0.184,15,11,0,2005
147,Pause,9,tangle,0.927,0.411,0.431,0.826,0.108,-18.776,0.0571,84.011,0.57,15,8,1,2001
95,Everything Ecstatic,8,turtle turtle up,0.35,0.535,0.701,0.946,0.72,-13.36,0.0618,76.059,0.726,15,6,0,2005
149,Pause,11,hilarious movie of the 90s,0.681,0.681,0.474,0.38,0.107,-11.886,0.0365,135.057,0.0349,15,11,1,2001
87,Everything Ecstatic,10,you were there with me,0.741,0.265,0.228,0.515,0.255,-21.805,0.0472,148.073,0.0341,16,7,1,2005
96,Everything Ecstatic,9,"sleep, eat food, have visions",0.0047,0.761,0.92,0.27,0.0603,-6.066,0.0663,106.027,0.307,16,1,1,2005
141,Pause,3,harmony one,0.952,0.379,0.532,0.829,0.7,-21.419,0.433,172.885,0.381,16,10,1,2001
83,Everything Ecstatic,6,and then patterns,0.000548,0.819,0.42,0.0364,0.0647,-13.835,0.135,150.014,0.924,16,6,1,2005
92,Everything Ecstatic,5,clouding,0.924,0.317,0.274,0.0,0.342,-12.669,0.0326,112.9,0.129,16,0,1,2005
146,Pause,8,no more mosquitoes,0.204,0.742,0.518,4.64e-05,0.26,-8.087,0.212,129.976,0.648,17,1,1,2001
148,Pause,10,you could ruin my day,0.159,0.607,0.377,0.518,0.157,-10.642,0.0323,103.981,0.17,18,8,0,2001
144,Pause,6,untangle,0.000536,0.807,0.456,0.904,0.112,-12.406,0.0656,112.985,0.415,18,9,1,2001
91,Everything Ecstatic,4,sun drums and soil,0.0995,0.336,0.832,0.0501,0.335,-8.141,0.0685,131.938,0.569,18,8,1,2005
79,Everything Ecstatic,2,smile around the face,0.00204,0.729,0.649,0.00414,0.103,-10.286,0.117,105.481,0.765,18,8,1,2005
72,Ringer,4,wing body wing,0.0995,0.806,0.626,0.889,0.114,-13.382,0.114,125.005,0.86,19,4,0,2008
143,Pause,5,leila came around and we watched a video,0.83,0.297,0.242,0.949,0.137,-22.504,0.0701,58.911,0.0359,19,9,1,2001
88,Everything Ecstatic,1,a joy,0.0018,0.619,0.587,0.842,0.109,-8.97,0.0556,114.974,0.184,19,11,0,2005
138,Pause,11,hilarious movie of the 90s,0.681,0.681,0.474,0.38,0.107,-11.886,0.0365,135.057,0.0349,20,11,1,2001
116,Rounds,9,and they all look broken hearted,0.266,0.314,0.49,0.875,0.0599,-8.251,0.037,82.655,0.199,20,3,0,2003
142,Pause,4,parks,0.717,0.422,0.441,0.472,0.227,-11.918,0.0431,85.988,0.198,20,9,0,2001
93,Everything Ecstatic,6,and then patterns,0.000548,0.819,0.42,0.0364,0.0647,-13.835,0.135,150.014,0.924,20,6,1,2005
112,Rounds,5,spirit fingers,0.691,0.575,0.646,0.975,0.114,-6.333,0.0317,82.959,0.411,20,1,0,2003
94,Everything Ecstatic,7,high fives,0.131,0.68,0.62,0.0936,0.242,-8.117,0.049,110.042,0.221,20,0,1,2005
97,Everything Ecstatic,10,you were there with me,0.741,0.265,0.228,0.515,0.255,-21.805,0.0472,148.073,0.0341,20,7,1,2005
136,Pause,9,tangle,0.927,0.411,0.431,0.826,0.108,-18.776,0.0571,84.011,0.57,21,8,1,2001
68,There Is Love in You,18,sing - extended mix,0.0619,0.834,0.572,0.138,0.0749,-10.217,0.146,121.992,0.738,21,9,0,2010
66,There Is Love in You,16,love cry - roska remix,0.000325,0.806,0.512,0.915,0.0466,-9.022,0.102,127.971,0.544,21,10,0,2010
67,There Is Love in You,17,our bells,0.521,0.247,0.408,0.86,0.13,-18.457,0.047,134.315,0.0382,21,1,1,2010
69,Ringer,1,ringer,0.296,0.328,0.757,0.589,0.292,-11.597,0.0655,113.068,0.293,21,6,0,2008
139,Pause,1,glue of the world,0.123,0.61,0.568,0.915,0.383,-8.949,0.0368,89.978,0.387,21,8,0,2001
114,Rounds,7,chia,0.972,0.484,0.352,0.919,0.17,-28.378,0.255,85.024,0.277,22,11,1,2003
65,There Is Love in You,15,sing - banton's indian chants remix,0.00176,0.8,0.625,0.686,0.107,-10.377,0.212,126.01,0.577,22,9,0,2010
140,Pause,2,twenty three,0.565,0.396,0.909,0.819,0.393,-7.855,0.0573,119.992,0.297,22,9,1,2001
110,Rounds,3,first thing,0.94,0.325,0.0116,0.752,0.0491,-34.229,0.0371,99.875,0.0393,22,7,1,2003
132,Pause,5,leila came around and we watched a video,0.83,0.297,0.242,0.949,0.137,-22.504,0.0701,58.911,0.0359,22,9,1,2001
137,Pause,10,you could ruin my day,0.159,0.607,0.377,0.518,0.157,-10.642,0.0323,103.981,0.17,23,8,0,2001
71,Ringer,3,swimmer,0.932,0.185,0.731,0.913,0.18,-9.85,0.041,127.001,0.0359,23,11,0,2008
135,Pause,8,no more mosquitoes,0.204,0.742,0.518,4.64e-05,0.26,-8.087,0.212,129.976,0.648,23,1,1,2001
117,Rounds,10,slow jam,0.0298,0.529,0.523,0.806,0.333,-3.572,0.0256,90.085,0.149,23,0,1,2003
40,Beautiful Rewind,9,ever never,0.984,0.474,0.0647,3.8e-05,0.218,-29.876,0.507,118.578,0.16,24,2,1,2013
130,Pause,3,harmony one,0.952,0.379,0.532,0.829,0.7,-21.419,0.433,172.885,0.381,24,10,1,2001
64,There Is Love in You,14,sing - mosca remix,0.054,0.721,0.92,0.883,0.115,-7.219,0.0603,129.979,0.432,24,11,0,2010
133,Pause,6,untangle,0.000536,0.807,0.456,0.904,0.112,-12.406,0.0656,112.985,0.415,24,9,1,2001
124,Rounds,7,chia,0.972,0.484,0.352,0.919,0.17,-28.378,0.255,85.024,0.277,24,11,1,2003
89,Everything Ecstatic,2,smile around the face,0.00204,0.729,0.649,0.00414,0.103,-10.286,0.117,105.481,0.765,24,8,1,2005
126,Rounds,9,and they all look broken hearted,0.266,0.314,0.49,0.875,0.0599,-8.251,0.037,82.655,0.199,25,3,0,2003
62,There Is Love in You,12,angel echoes - caribou remix,0.00123,0.497,0.732,0.723,0.115,-8.853,0.192,120.04,0.485,25,7,1,2010
122,Rounds,5,spirit fingers,0.691,0.575,0.646,0.975,0.114,-6.333,0.0317,82.959,0.411,26,1,0,2003
120,Rounds,3,first thing,0.94,0.325,0.0116,0.752,0.0491,-34.229,0.0371,99.875,0.0393,26,7,1,2003
128,Pause,1,glue of the world,0.123,0.61,0.568,0.915,0.383,-8.949,0.0368,89.978,0.387,26,8,0,2001
131,Pause,4,parks,0.717,0.422,0.441,0.472,0.227,-11.918,0.0431,85.988,0.198,26,9,0,2001
145,Pause,7,everything is alright,0.133,0.608,0.857,0.703,0.151,-8.729,0.0361,119.986,0.961,27,5,0,2001
39,Beautiful Rewind,8,aerial,0.0131,0.732,0.773,0.849,0.105,-10.771,0.0488,130.012,0.621,27,10,0,2013
37,Beautiful Rewind,6,crush,0.237,0.708,0.361,0.0429,0.712,-14.688,0.354,67.36,0.171,27,4,0,2013
61,There Is Love in You,11,sing - floating points remix,0.751,0.523,0.452,0.916,0.0528,-13.06,0.0805,128.014,0.105,27,9,0,2010
34,Beautiful Rewind,3,our navigation,0.62,0.478,0.575,0.374,0.138,-13.961,0.0609,129.968,0.663,28,9,0,2013
109,Rounds,2,she moves she,0.0218,0.792,0.935,0.917,0.0615,-3.728,0.0599,114.033,0.473,28,9,0,2003
38,Beautiful Rewind,7,buchla,0.0512,0.816,0.507,0.0035,0.104,-14.098,0.135,129.023,0.441,28,10,0,2013
